favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
4,Twitter Web Client,RT @VerBolsonaro: Os canalhas d sempre novamente mentem alegando Bolsonaro ter ofendido negros... Segue a verdade. http://t.co/cnhKhWJamJ,,False,Thu Mar 07 22:35:12 +0000 2013,12,309794389348188160
2,Twitter Web Client,Escrevi CARTA ABERTA expondo a verdade sobre o VOTO NULO. ATENÇÃO aos ñ ignorantes. http://bit.ly/bN2IB6,,False,Wed May 12 19:02:28 +0000 2010,7,13866549405
2,Twitter Web Client,RT @VerBolsonaro: Bolsonaro vira ateu e comunista e lamenta a morte de Niemeyer. http://t.co/ReoHW2OS,,False,Thu Dec 06 17:52:40 +0000 2012,3,276745989853958144
4,Twitter Web Client,Genoíno é torturado... com a verdade no plenário da Câmara. http://t.co/0zUQzBEoWl,,False,Thu Feb 28 13:36:52 +0000 2013,32,307122196604653568
70,Twitter Web Client,"Aos q me criticam, mto obrigado. Vcs são as razões dos meus discursos! SELVA, aquele abraço!",,False,Thu Jul 08 17:54:01 +0000 2010,60,18052173061
0,Facebook,http://t.co/jz6mlqMNAM,,False,Tue Apr 02 13:25:08 +0000 2013,0,319078042280529921
1,Twitter Web Client,Vc sabe quem foi o único deputado q votou contra a PEC das Domésticas? Como vc votaria?,,False,Mon Mar 25 12:55:25 +0000 2013,2,316171464283938816
6,TweetDeck,"#debate64 Os financiados por Fidel posam d vítimas na busca d votos e indenizações. O PNDH3 censura a mídia, abole símblos religiosos, etc.",,False,Thu Apr 01 02:16:23 +0000 2010,6,11400639004
1,Twitter Web Client,"A eleição de Carlos Bolsonaro 11.120, p/ vereador no Rio de Janeiro é de vital importância p/ a continuidade d meu trabalho em Brasília.",,False,Tue Jul 17 19:10:10 +0000 2012,15,225306419115732994
3,Twitter Web Client,"Jean Wyllys, Chico Alencar (PSOL) e Domingos Dutra (PT) . Saiba e entenda quem são os verdadeiros intolerantes. http://t.co/VDcoyMCnN0",,False,Fri Mar 08 16:00:17 +0000 2013,35,310057393180508161
19,TweetDeck,"#debate64 OS cassados voltaram. ""Vivemos num mar de ética e horror à corrupção."" Hoje falta um AI-5 p/ os esquerdóides do Mensalão.",,False,Thu Apr 01 03:25:32 +0000 2010,39,11403939430
1,Hootsuite,140 caracteres resumem o ativista Stephen Fries. http://t.co/XhNPZNdP73,,False,Tue Oct 22 03:07:53 +0000 2013,4,392487443293032448
2,Twitter Web Client,PEC DO TRABALHO ESCRAVO: Governo aprova projeto q na verdade mascara o fim da propriedade privada. http://t.co/8LtjM2dR3O,,False,Tue Oct 15 12:51:16 +0000 2013,5,390097542244868097
13,Twitter Web Client,"""O PSOL é o PT pintado de rosa!"": Após reunir-se com UNE e MST, Dilma faz reunião com PSOL. http://t.co/1STtq8xeD8",,False,Tue Jul 02 12:28:57 +0000 2013,111,352041201710546944
0,Twitter Web Client,"Mesmo pescando legalmente, Bolsonaro corre o risco d se tornar inelegível por acusação d crime ambiental. http://t.co/H436dbTVuN",,False,Fri May 17 12:24:36 +0000 2013,5,335370265624207360
0,Hootsuite,"Stephen Fries; uma hora d conversa s/ problemas, alguns quebrados segundos divulgados . Mais um s/ vergonha aparecendo às minhas custas.",,False,Mon Oct 21 20:45:21 +0000 2013,5,392391176822996992
1,Twitter Web Client,"SIGA A FAMÍLIA BOLSONARO NO TWITTER: Eduardo (@BolsonaroSP ), Flávio (@FlavioBolsonaro) e Carlos (@VerBolsonaro)",,False,Thu Oct 24 17:36:50 +0000 2013,1,393430900584620032
6,Twitter Web Client,"Revista Época: Bolsonaro fala sobre militares, ações da PM, biografias, Dilma e mto +.Veja e opine: http://t.co/FzDl5amVMj",,False,Sun Oct 20 19:28:19 +0000 2013,11,392009404456783872
4,Twitter Web Client,Querem acabar com o respeito ao próximo no Brasil. http://t.co/nMgKAcCpEB,,False,Fri Oct 18 17:10:12 +0000 2013,13,391249869915975680
1,Twitter Web Client,Brasileiros selecionados pelo MST vão estudar medicina em Cuba p/ aprender técnicas guerrilha.. http://t.co/VBTgb7WSiA,,False,Mon May 13 18:15:59 +0000 2013,14,334009139225305089
5,Twitter Web Client,Flávio Bolsonaro esculhamba Marcelo Freixo e defende policiais q mataram o traficante Matemático. http://t.co/9h9HjKqxRn,,False,Tue May 07 21:50:05 +0000 2013,32,331888693054947329
0,Twitter Web Client,Câmara de Vereadores do Rio aprova condecoração ao ditador Venezuelano Nicolás Maduro. Entenda: http://t.co/E85CTW1yyj,,False,Thu May 09 18:12:15 +0000 2013,7,332558651913031680
2,Twitter Web Client,Vereador Bolsonaro comanda combate ao programa Maus Médicos no Rio de Janeiro. http://t.co/Vr4gX1jheM,,False,Thu Oct 10 17:24:21 +0000 2013,1,388354327925891072
9,Twitter for iPhone,"Diferentemente do PSOL, PT, PcdoB e UNE, a Família Bolsonaro se solidariza c/ o povo sul-coreano. http://t.co/eyyBarInZ0",,False,Sat May 04 19:27:07 +0000 2013,30,330765549036511232
0,Twitter Web Client,RT @VerBolsonaro: RT @GustaAB: DIPLOMACIA BRASILEIRA DE TERCEIRA CATEGORIA por Jair Bolsonaro. http://t.co/Y8nVi46Ezw,,False,Wed Aug 28 17:31:03 +0000 2013,8,372773333168689152
